run,sourceType,sourcePosition,whichSet,nEvents
6015,wTh,S5,train,15135
6124,wTh,S5,train,15082
5898,wTh,S5,train,278
4435,wTh,S5,train,24
5576,wTh,S5,train,46487
4070,wTh,S5,train,15576
5405,wTh,S5,train,6941
4052,wTh,S5,train,15727
5536,wTh,S5,train,21570
4175,wTh,S5,train,50001
3966,wTh,S5,train,15584
6162,wTh,S5,train,9780
6131,wTh,S5,train,15402
4824,wTh,S5,train,9508
4498,wTh,S5,train,15482
5222,wTh,S5,train,17309
5589,wTh,S5,train,16283
3754,wTh,S5,train,15654
3836,wTh,S5,train,13683
5080,wTh,S5,train,10393
5608,wTh,S5,train,15777
5651,wTh,S5,train,15683
4503,wTh,S5,train,15740
5905,wTh,S5,train,957
5093,wTh,S5,train,16203
4628,wTh,S5,train,15835
6218,wTh,S5,train,14613
5613,wTh,S5,train,15855
4934,wTh,S5,train,15543
5223,wTh,S5,train,17372
3901,wTh,S5,train,15440
5724,wTh,S5,train,17214
4116,wTh,S5,train,472
6091,wTh,S5,train,15406
5621,wTh,S5,train,16769
6117,wTh,S5,train,15356
5036,wTh,S5,train,15790
3745,wTh,S5,train,15502
4676,wTh,S5,train,15934
4709,wTh,S5,train,15584
4206,wTh,S5,train,17591
5657,wTh,S5,train,16046
5088,wTh,S5,train,15763
4959,wTh,S5,train,16030
4534,wTh,S5,train,16013
5225,wTh,S5,train,17266
5460,wTh,S5,train,10166
5020,wTh,S5,train,27759
5137,wTh,S5,train,15894
5021,wTh,S5,train,10534
5880,wTh,S5,train,16096
5042,wTh,S5,train,15734
5696,wTh,S5,train,15961
4997,wTh,S5,train,15843
5509,wTh,S5,train,16165
4600,wTh,S5,train,15532
4329,wTh,S5,train,2744
5549,wTh,S5,train,16056
3787,wTh,S5,train,15435
3906,wTh,S5,train,15706
4989,wTh,S5,train,15586
6057,wTh,S5,train,15047
4687,wTh,S5,train,15632
6062,wTh,S5,train,15169
4615,wTh,S5,train,15701
5227,wTh,S5,train,8636
5705,wTh,S5,train,15613
5221,wTh,S5,train,17304
5775,wTh,S5,train,15795
5952,wTh,S5,train,26877
4156,wTh,S5,train,4707
4654,wTh,S5,train,15461
4203,wTh,S5,train,26648
4383,wTh,S5,train,15510
5744,wTh,S5,train,16055
4154,wTh,S5,train,3655
5642,wTh,S5,train,15920
4211,wTh,S5,train,17309
3717,wTh,S5,train,15410
5317,wTh,S5,train,17918
5220,wTh,S5,train,17328
5019,wTh,S5,train,26950
4341,wTh,S5,train,17985
5543,wTh,S5,train,16554
4377,wTh,S5,train,16618
4045,wTh,S5,train,14090
4985,wTh,S5,train,15942
5901,wTh,S5,train,329
4087,wTh,S5,train,15896
4592,wTh,S5,train,15636
5606,wTh,S5,train,16883
4633,wTh,S5,train,15620
4896,wTh,S5,train,16527
5928,wTh,S5,train,16177
4920,wTh,S5,train,15969
4093,wTh,S5,train,6144
5783,wTh,S5,train,15334
5117,wTh,S5,train,13859
5359,wTh,S5,train,17461
4292,wTh,S5,train,15744
5146,wTh,S5,train,15821
4334,wTh,S5,train,50001
5355,wTh,S5,train,17162
4157,wTh,S5,train,5696
5946,wTh,S5,train,16274
4840,wTh,S5,train,25065
5451,wTh,S5,train,585
4111,wTh,S5,train,12966
5354,wTh,S5,train,17282
4561,wTh,S5,train,15594
4022,wTh,S5,train,16557
5546,wTh,S5,train,17139
5453,wTh,S5,train,21927
5398,wTh,S5,train,31032
4400,wTh,S5,train,15477
4901,wTh,S5,train,10374
5680,wTh,S5,train,15595
4477,wTh,S5,train,15646
4458,wTh,S5,train,15603
5446,wTh,S5,train,12744
6099,wTh,S5,train,15524
4221,wTh,S5,train,14470
5605,wTh,S5,train,15776
3926,wTh,S5,train,19207
4174,wTh,S5,train,50001
4977,wTh,S5,train,14001
3736,wTh,S5,train,15314
5226,wTh,S5,train,17567
5501,wTh,S5,train,17405
5874,wTh,S5,train,14938
4969,wTh,S5,train,15541
6088,wTh,S5,train,15053
5638,wTh,S5,train,17507
5925,wTh,S5,train,17358
4369,wTh,S5,train,15694
4185,wTh,S5,train,11
5749,wTh,S5,train,15606
3914,wTh,S5,train,15285
4310,wTh,S5,train,15539
5003,wTh,S5,train,15737
6072,wTh,S5,train,11063
4509,wTh,S5,train,15439
6079,wTh,S5,train,15508
5782,wTh,S5,train,15493
4407,wTh,S5,train,13906
6138,wTh,S5,train,15115
3931,wTh,S5,train,16635
4225,wTh,S5,train,15598
6215,wTh,S5,train,15183
4645,wTh,S5,train,13501
4609,wTh,S5,train,15704
5535,wTh,S5,train,20890
5908,wTh,S5,train,19206
3818,wTh,S5,train,15652
4620,wTh,S5,train,15734
3772,wTh,S5,train,13695
5761,wTh,S5,train,15664
4926,wTh,S5,train,15635
5353,wTh,S5,train,17262
4112,wTh,S5,train,1679
3829,wTh,S5,train,16221
4001,wTh,S5,train,15764
5998,wTh,S5,train,13349
5432,wTh,S5,train,10932
5641,wTh,S5,train,15954
6067,wTh,S5,train,15210
5631,wTh,S5,train,16247
3880,wTh,S5,train,13846
5369,wTh,S5,train,15815
5360,wTh,S5,train,17265
4421,wTh,S5,train,15638
6003,wTh,S5,train,15254
5558,wTh,S5,train,15544
5781,wTh,S5,train,16788
5320,wTh,S5,train,16193
5636,wTh,S5,train,15560
3797,wTh,S5,train,15495
4684,wTh,S5,train,17078
5913,wTh,S5,train,50001
3724,wTh,S5,train,15419
4489,wTh,S5,train,13755
5515,wTh,S5,train,17227
3727,wTh,S5,train,15270
5352,wTh,S5,train,17202
5033,wTh,S5,train,15748
4544,wTh,S5,train,15743
4173,wTh,S5,train,22654
5219,wTh,S5,train,17203
5785,wTh,S5,train,15868
4745,wTh,S5,train,15353
4726,wTh,S5,train,15865
5777,wTh,S5,train,15782
4612,wTh,S5,train,8138
5767,wTh,S5,train,15578
5356,wTh,S5,train,17352
5427,wTh,S5,train,0
5774,wTh,S5,train,15665
4262,wTh,S5,train,15594
5634,wTh,S5,train,16008
4252,wTh,S5,train,24986
5786,wTh,S5,train,15980
5533,wTh,S5,train,24785
5361,wTh,S5,train,17262
5921,wTh,S5,train,18502
5909,wTh,S5,train,36603
6011,wTh,S5,train,15383
4297,wTh,S5,train,25219
4159,wTh,S5,train,3
4216,wTh,S5,train,17996
4740,wTh,S5,train,15448
5895,wTh,S5,train,1
5737,wTh,S5,train,15620
5668,wTh,S5,train,16120
5711,wTh,S5,train,15746
6032,wTh,S5,train,15830
4909,wTh,S5,train,15719
5017,wTh,S5,train,27070
3969,wTh,S5,train,15567
4519,wTh,S5,train,15671
4648,wTh,S5,train,13050
5534,wTh,S5,train,26552
4732,wTh,S5,train,13936
5307,wTh,S5,train,15734
5532,wTh,S5,train,50001
5754,wTh,S5,train,15786
4952,wTh,S5,train,15608
3720,wTh,S5,train,15559
5114,wTh,S5,train,14028
5583,wTh,S5,train,15838
5567,wTh,S5,train,16153
5639,wTh,S5,train,15902
4660,wTh,S5,train,15442
4915,wTh,S5,train,16031
5426,wTh,S5,train,0
3751,wTh,S5,train,15484
4319,wTh,S5,train,28034
5643,wTh,S5,train,15834
4057,wTh,S5,train,27522
3883,wTh,S5,train,15519
6051,wTh,S5,train,39737
5992,wTh,S5,train,15281
3898,wTh,S5,train,15449
6039,wTh,S5,train,35386
3961,wTh,S5,train,7451
4335,wTh,S5,train,17109
5603,wTh,S5,train,16400
4663,wTh,S5,train,13713
5676,wTh,S5,train,15662
3821,wTh,S5,train,15240
3806,wTh,S5,train,15436
3768,wTh,S5,train,15880
4864,wTh,S5,train,16168
4039,wTh,S5,train,15594
4992,wTh,S5,train,15773
3975,wTh,S5,train,18515
4852,wTh,S5,train,13965
5612,wTh,S5,train,15774
5412,wTh,S5,train,12462
5580,wTh,S5,train,33131
5955,wTh,S5,train,22393
5900,wTh,S5,train,543
4155,wTh,S5,train,4410
5731,wTh,S5,train,15524
6022,wTh,S5,train,14944
5896,wTh,S5,train,4
5079,wTh,S5,train,433
3803,wTh,S5,train,15664
5438,wTh,S5,train,6275
5563,wTh,S5,train,16292
5778,wTh,S5,train,7569
3815,wTh,S5,train,15266
4964,wTh,S5,train,15644
5457,wTh,S5,train,41165
5358,wTh,S5,train,17080
4946,wTh,S5,train,15639
5474,wTh,S5,train,15925
5784,wTh,S5,train,15209
5484,wTh,S5,train,15998
4322,wTh,S5,train,30697
5916,wTh,S5,train,29900
5886,wTh,S5,train,15621
4859,wTh,S5,train,15655
4287,wTh,S5,val,25295
5027,wTh,S5,val,15779
6094,wTh,S5,val,15720
6225,wTh,S5,val,16248
4034,wTh,S5,val,13934
3742,wTh,S5,val,15435
4468,wTh,S5,val,18369
5537,wTh,S5,val,22271
4758,wTh,S5,val,16329
3739,wTh,S5,val,15781
4136,wTh,S5,val,1112
3775,wTh,S5,val,15681
5645,wTh,S5,val,17142
6025,wTh,S5,val,33255
5494,wTh,S5,val,14020
4640,wTh,S5,val,15622
4113,wTh,S5,val,494
5776,wTh,S5,val,15836
5203,wTh,S5,val,16024
4232,wTh,S5,val,15785
4884,wTh,S5,val,15664
5489,wTh,S5,val,45021
4245,wTh,S5,val,15570
5469,wTh,S5,val,0
4667,wTh,S5,val,15815
4327,wTh,S5,val,8833
4657,wTh,S5,val,15761
4577,wTh,S5,val,15551
4941,wTh,S5,val,15837
3877,wTh,S5,val,15746
5379,wTh,S5,val,15900
5935,wTh,S5,val,15614
4877,wTh,S5,val,15649
4703,wTh,S5,val,16069
